Reference_Graph,Edit_Distance_Unnorm,Edit_Distance
17_918099.pkl,9.0,0.36
33_459135.pkl,9.0,0.45
20_306098.pkl,10.0,0.4
71_523598.pkl,10.0,0.4
31_644920.pkl,25.0,0.45454545454545453
