,a,b,c,d,e,f,g,h,i
a,49,21,19,27,5,3,8,5,0
b,21,38,11,15,1,1,11,2,0
c,19,11,25,12,0,1,4,1,0
d,27,15,12,41,3,0,12,4,0
e,5,1,0,3,5,0,0,1,0
f,3,1,1,0,0,3,0,0,0
g,8,11,4,12,0,0,19,1,0
h,5,2,1,4,1,0,1,7,0
i,0,0,0,0,0,0,0,0,0
